Date,TransactionNumber,MerchantID,Amount,Reference,Particulars,Status,CardNumber,CVV,CardName,RefundDate,RefundTransactionNumber,RefundedAmount,CardType,RefundReference,RefundParticulars
1/12/2022 0:49,P221210018136755,632998,100,MasterCard 00,Capture AND Refund,Successful,512345******2346,1023,SUCCESSFUL,1/12/2022 0:49,P221210018136754,100,MasterCard 00,Capture AND Refund,testuatautomation@gmail.com
1/12/2022 0:49,P221210018136759,632998,100,Visa 00,Capture AND Refund,Successful,498765******8769,1023,SUCCESSFUL,1/12/2022 0:49,P221210018136758,100,Visa 00,Capture AND Refund,testuatautomation@gmail.com
1/12/2022 0:50,P221210018136762,632998,100,American Express 00,Capture AND Refund,Successful,345678*****4564,1023,SUCCESSFUL,1/12/2022 0:50,P221210018136761,100,American Express 00,Capture AND Refund,testuatautomation@gmail.com
1/12/2022 0:50,P221210018136766,632998,100,Diners Club 00,Capture AND Refund,Successful,361295****2349,1023,SUCCESSFUL,1/12/2022 0:50,P221210018136765,100,Diners Club 00,Capture AND Refund,testuatautomation@gmail.com
1/12/2022 0:50,P221210018136774,632998,100,QCard 00,Capture AND Refund,Successful,601531******5676,1023,SUCCESSFUL,1/12/2022 0:50,P221210018136773,100,QCard 00,Capture AND Refund,testuatautomation@gmail.com
1/12/2022 2:47,P221210018137629,632998,100,Non3DS 00,Non3DS 00,Successful,512345******2346,1023,SUCCESSFUL,1/12/2022 2:47,P221210018137627,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
1/12/2022 2:47,P221210018137631,632998,100,Non3DS 00,Non3DS 00,Successful,498765******8769,1023,SUCCESSFUL,1/12/2022 2:47,P221210018137630,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
1/12/2022 2:48,P221210018137633,632998,100,Non3DS 00,Non3DS 00,Successful,345678*****4564,1023,SUCCESSFUL,1/12/2022 2:47,P221210018137632,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
1/12/2022 2:48,P221210018137636,632998,100,Non3DS 00,Non3DS 00,Successful,361295****2349,1023,SUCCESSFUL,1/12/2022 2:48,P221210018137635,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
1/12/2022 2:48,P221210018137638,632998,100,Non3DS 00,Non3DS 00,Successful,601531******5676,1023,SUCCESSFUL,1/12/2022 2:48,P221210018137637,100,Non3DS 00,Non3DS 00,testuatautomation@gmail.com
1/12/2022 4:08,P221210018137901,632998,30,UXRefFilterRefund,UxTransactionFilterRefund,Successful,512345******0008,139,UXBOT,1/12/2022 4:08,P2212T0043138416,30,UXRefFilter,UxTransactionFilter,API\110387
1/12/2022 4:08,P221210018137907,632998,30,UXRefFilterRefund,UxTransactionFilterRefund,Successful,512345******0008,139,UXBOT,1/12/2022 4:08,P2212T0043138420,30,UXRefFilter,UxTransactionFilter,API\110387
1/12/2022 4:41,P221210018138036,632998,6,Refund,Refund UX,Successful,411111******1111,1232,Ux Bot,1/12/2022 4:41,P221210018138034,20,VTR,Card txn,testuatautomation@gmail.com
1/12/2022 4:41,P2212B0043138550,632998,30,Refund,Refund UX,Blocked,411111******1111,1232,Ux Bot,1/12/2022 4:41,P221210018138037,20,VTR,Card txn,testuatautomation@gmail.com
1/12/2022 5:24,P2212B0043138669,632998,26,Refund,Refund UX,Blocked,411111******1111,1234,UX BOT,1/12/2022 5:24,P221210018138157,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:24,P2212B0043138671,632998,25.01,Refund,Refund UX,Blocked,345678*****4564,1234,UX BOT,1/12/2022 5:24,P221210018138158,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:24,P2212B0043138674,632998,99,Refund,Refund UX,Blocked,601531******5676,1234,UX BOT,1/12/2022 5:24,P221210018138160,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:24,P2212B0043138676,632998,25.99,123Refund,Refund UX,Blocked,558715******1374,1234,UX BOT,1/12/2022 5:24,P221210018138161,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:25,P2212B0043138678,632998,26,Refund,Refund UX,Blocked,222100******2347,223,UX Token Bot,1/12/2022 5:25,P221210018138162,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:25,P2212B0043138680,632998,26.12,Refund,Refund UX,Blocked,512345******2346,1023,SUCCESSFUL,1/12/2022 5:25,P221210018138163,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:25,P2212B0043138683,632998,25.99,Refund@234,Refund UX,Blocked,345678*****4564,1234,UX BOT,1/12/2022 5:25,P221210018138165,25,Refund,Refund,testuatautomation@gmail.com
1/12/2022 5:39,P221210018138209,632998,5,WebpaymentC,WebPayC,Successful,411111******1111,1031,UX BOT,1/12/2022 5:39,P221210018138207,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:40,P221210018138212,632998,9,WebpaymentC,WebPayC,Successful,558715******1374,1031,UX BOT,1/12/2022 5:40,P221210018138210,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:40,P221210018138215,632998,10,WebpaymentC,WebPayC,Successful,222100******2347,1031,UX BOT,1/12/2022 5:40,P221210018138214,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:40,P221210018138217,632998,7,WebpaymentC,WebPayC,Successful,345678*****4564,1031,UX BOT,1/12/2022 5:40,P221210018138216,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:40,P221210018138219,632998,7,WebpaymentC,WebPayC,Successful,601531******5676,1031,UX BOT,1/12/2022 5:40,P221210018138218,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:41,P221210018138222,632998,2,WebpaymentC,WebPayC,Successful,361295****2349,1031,UX BOT,1/12/2022 5:41,P221210018138221,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:41,P221210018138225,632998,5,WebpaymentRef,WebPayC,Successful,411111******1111,1031,UX BOT,1/12/2022 5:41,P221210018138223,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:41,P221210018138227,632998,9,Webpayment123,WebPayC,Successful,558715******1374,1031,UX BOT,1/12/2022 5:41,P221210018138226,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:41,P221210018138229,632998,10,Webpayment@123,WebPayC,Successful,222100******2347,1031,UX BOT,1/12/2022 5:41,P221210018138228,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:42,P221210018138232,632998,7,Webpayment&ryrtd123,WebPayC,Successful,345678*****4564,1031,UX BOT,1/12/2022 5:42,P221210018138231,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:42,P221210018138236,632998,7,123,WebPayC,Successful,601531******5676,1031,UX BOT,1/12/2022 5:42,P221210018138234,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:42,P221210018138238,632998,2,123@avcd%,WebPayC,Successful,361295****2349,1031,UX BOT,1/12/2022 5:42,P221210018138237,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:42,P2212B0043138758,632998,11,WebpaymentC,WebPayC,Blocked,411111******1111,1031,UX BOT,1/12/2022 5:42,P221210018138239,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:43,P2212B0043138761,632998,12,WebpaymentC,WebPayC,Blocked,558715******1374,1031,UX BOT,1/12/2022 5:43,P221210018138241,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:43,P2212B0043138763,632998,13,WebpaymentC,WebPayC,Blocked,222100******2347,1031,UX BOT,1/12/2022 5:43,P221210018138242,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:43,P2212B0043138766,632998,14,WebpaymentC,WebPayC,Blocked,345678*****4564,1031,UX BOT,1/12/2022 5:43,P221210018138244,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:43,P2212B0043138768,632998,14,WebpaymentC,WebPayC,Blocked,601531******5676,1031,UX BOT,1/12/2022 5:43,P221210018138245,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:44,P2212B0043138771,632998,16,WebpaymentC,WebPayC,Blocked,361295****2349,1031,UX BOT,1/12/2022 5:44,P221210018138247,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:44,P2212B0043138773,632998,17,WebpaymentRef,WebPayC,Blocked,411111******1111,1031,UX BOT,1/12/2022 5:44,P221210018138248,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
1/12/2022 5:44,P2212B0043138776,632998,18,Webpayment123,WebPayC,Blocked,558715******1374,1031,UX BOT,1/12/2022 5:44,P221210018138250,10,WebpaymentC,WebPayC,testuatautomation@gmail.com
